Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
260;1992;65;Unforgiven;False;David Peoples;;;;
345;2009;82;Up;False;Screenplay: Pete Docter & Bob Peterson;;;;
320;2004;77;Vera Drake;False;Mike Leigh;;;;
390;2018;91;Vice;False;Adam McKay;;;;
60;1952;25;Viva Zapata!;False;John Steinbeck;;;;
13;1942;15;Wake Island;False;;;;;
340;2008;81;WALL-E;False;Screenplay: Jim Reardon & Andrew Stanton;;;;
215;1983;56;WarGames;False;Lawrence Lasker & Walter Parkes;;;;
29;1945;18;What Next, Corporal Hargrove?;False;;;;;
245;1989;62;When Harry Met Sally...;False;Nora Ephron;;;;
95;1959;32;Wild Strawberries;False;Ingmar Bergman;;;;
20;1944;17;Wilson;True;;;;;
24;1944;17;Wing and a Prayer;False;;;;;
221;1985;58;Witness;True;Screenplay: William Kelley & Earl W. Wallace;;;;
10;1942;15;Woman of the Year;True;;;;;
310;2002;75;Y Tu Mamá También;False;Alfonso & Carlos Cuarón;;;;
300;2000;73;You Can Count on Me;False;Kenneth Lonergan;;;;
160;1972;45;Young Winston;False;Carl Foreman;;;;
360;2012;85;Zero Dark Thirty;False;Mark Boal;;;;
