Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
166;1974;47;Chinatown;True;Robert Towne‡;;;;
5;1941;14;Citizen Kane;True;;;;;
186;1978;51;Coming Home;True;Screenplay: Robert C. Jones‡ & Waldo Salt;;;;
177;1976;49;Cousin, Cousine;False;Screenplay & Story: Jean-Charles Tacchella Adaptation: Daniele Thompson;;;;
321;2005;78;Crash;True;Screenplay: Paul Haggis & Bobby Moresco;;;;
163;1973;46;Cries and Whispers;False;Ingmar Bergman;;;;
242;1989;62;Crimes and Misdemeanors;False;Woody Allen;;;;
227;1986;59;Crocodile Dundee;False;Screenplay: John Cornell, Paul Hogan & Ken Shadie;;;;
364;2013;86;Dallas Buyers Club;False;Craig Borten & Melisa Wallack;;;;
121;1965;38;Darling;True;Frederic Raphael‡;;;;
262;1993;66;Dave;False;Gary Ross;;;;
53;1951;24;David and Bathsheba;False;Philip Dunne;;;;
169;1974;47;Day for Night;False;Jean-Louis Richard, Suzanne Schiffman & François Truffaut;;;;
241;1989;62;Dead Poets Society;True;Tom Schulman‡;;;;
284;1997;70;Deconstructing Harry;False;Woody Allen;;;;
81;1957;30;Designing Woman;True;George Wells‡;;;;
26;1945;18;Dillinger;False;;;;;
207;1982;55;Diner;False;Barry Levinson;;;;
313;2003;76;Dirty Pretty Things;False;Steven Knight;;;;
133;1967;40;Divorce American Style;False;Screenplay: Norman Lear;;;;
106;1962;35;Divorce Italian Style;True;Ennio de Concini, Pietro Germi & Alfredo Giannetti‡;;;;
356;2012;85;Django Unchained;True;Quentin Tarantino‡;;;;
243;1989;62;Do the Right Thing;False;Spike Lee;;;;
171;1975;48;Dog Day Afternoon;True;Frank Pierson‡;;;;
403;2021;94;Don't Look Up;False;Screenplay: Adam McKay;;;;
2;1940;13;Dr. Ehrlich's Magic Bullet;False;;;;;
208;1982;55;E.T. the Extra-Terrestrial;False;Melissa Mathison;;;;
144;1969;42;Easy Rider;False;Peter Fonda, Dennis Hopper & Terry Southern;;;;
219;1984;57;El Norte;False;Gregory Nava & Anna Thomas;;;;
298;2000;73;Erin Brockovich;False;Susannah Grant;;;;
316;2004;77;Eternal Sunshine of the Spotless Mind;True;Screenplay: Charlie Kaufman;;;;
407;2022;95;Everything Everywhere All at Once;True;Daniel Kwan and Daniel Scheinert‡;;;;
373;2015;88;Ex Machina;False;Alex Garland;;;;
138;1968;41;Faces;False;John Cassavetes;;;;
198;1980;53;Fame;False;Christopher Gore;;;;
213;1983;56;Fanny and Alexander;False;Ingmar Bergman;;;;
307;2002;75;Far from Heaven;False;Todd Haynes;;;;
276;1996;69;Fargo;True;Coen Brothers‡;;;;
116;1964;37;Father Goose;True;Screenplay: Peter Stone & Frank Tarloff;;;;
314;2003;76;Finding Nemo;False;Screenplay: Bob Peterson, David Reynolds & Andrew Stanton;;;;
388;2018;91;First Reformed;False;Paul Schrader;;;;
147;1970;43;Five Easy Pieces;False;Screenplay: Carole Eastman;;;;
358;2012;85;Flight;False;John Gatins;;;;
