Id;Year;Edition;Film;Nominees;Won
104;1957;30;The Enemy Below [note 6];Walter Rossi (audible);False
270;2007;80;The Golden Compass;Michael L. Fink, Bill Westenhofer, Ben Morris, and Trevor Wood;True
129;1965;38;The Greatest Story Ever Told;Joseph McMillan Johnson;False
116;1961;34;The Guns of Navarone;Bill Warrington (visual);
155;1975;48;The Hindenburg [note 3];Albert Whitlock and Glen Robinson;False
295;2012;85;The Hobbit: An Unexpected Journey;Joe Letteri, Eric Saindon, David Clayton, and R. Christopher White;False
301;2013;86;The Hobbit: The Desolation of Smaug;Joe Letteri, Eric Saindon, David Clayton, and Eric Reynolds;False
21;1940;13;The Invisible Man Returns;John P. Fulton (photographic);
34;1941;14;The Invisible Woman;John Fulton (photographic);
338;2019;92;The Irishman;Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser, and Stephane Grabli;False
318;2016;89;The Jungle Book;Robert Legato, Adam Valdez, Andrew R. Jones, and Dan Lemmon;True
114;1960;33;The Last Voyage;Augie Lohman (visual);False
339;2019;92;The Lion King;Robert Legato, Adam Valdez, Andrew R. Jones, and Elliot Newman;False
303;2013;86;The Lone Ranger;Tim Alexander, Gary Brozenich, Edson Williams, and John Frazier;False
22;1940;13;The Long Voyage Home;R. T. Layton and R. O. Binger (photographic);
119;1962;35;The Longest Day;Robert MacDonald (visual);
246;2001;74;The Lord of the Rings: The Fellowship of the Ring;Jim Rygiel, Randall William Cook, Richard Taylor, and Mark Stetson;True
254;2003;76;The Lord of the Rings: The Return of the King;Jim Rygiel, Joe Letteri, Randall William Cook, and Alex Funke;True
250;2002;75;The Lord of the Rings: The Two Towers;Jim Rygiel, Joe Letteri, Randall William Cook, and Alex Funke;True
231;1997;70;The Lost World: Jurassic Park;Dennis Muren, Stan Winston, Randal M. Dutra, and Michael Lantieri;False
314;2015;88;The Martian;Anders Langlands, Chris Lawrence, Richard Stammers, and Steven Warner;False
220;1994;67;The Mask;Scott Squires, Steve 'Spaz' Williams, Tom Bertino, and Jon Farhat;False
238;1999;72;The Matrix;John Gaeta, Janek Sirrs, Steve Courtley, and Jon Thum;True
344;2020;93;The Midnight Sky;Matt Kasmir, Christopher Lawrence, Max Solomon, and David Watkins;False
47;1942;15;The Navy Comes Through;Vernon L. Walker (photographic);
217;1993;66;The Nightmare Before Christmas;Pete Kozachik, Eric Leighton, Ariel Velasco Shaw, and Gordon Baker;False
54;1943;16;The North Star;Clarence Slifer and R. O. Binger (photographic);
346;2020;93;The One and Only Ivan;Nick Davis, Greg Fisher, Ben Jones, and Santiago Colomo Martínez;False
244;2000;73;The Perfect Storm;Stefen Fangmeier, Habib Zargarpour, John Frazier, and Walt Conti;False
149;1972;45;The Poseidon Adventure [note 3];L. B. Abbott and A. D. Flowers;False
49;1942;15;The Pride of the Yankees;Jack Cosgrove and Ray Binger (photographic);
10;1939;12;The Private Lives of Elizabeth and Essex;Byron Haskin (photographic);
7;1939;12;The Rains Came;Fred Sersen (photographic);
99;1955;28;The Rains of Ranchipur;20th Century-Fox Studio;False
315;2015;88;The Revenant;Richard McBride, Matt Shumway, Jason Smith, and Cameron Waldbauer;False
25;1940;13;The Sea Hawk;Byron Haskin (photographic);
35;1941;14;The Sea Wolf;Byron Haskin (photographic);
105;1957;30;The Spirit of St. Louis;Louis Lichtenfield (visual);False
63;1944;17;The Story of Dr. Wassell;Farciot Edouart and Gordon Jennings (photographic);
101;1956;29;The Ten Commandments;John P. Fulton;True
15;1940;13;The Thief of Bagdad;Lawrence Butler (photographic);
113;1960;33;The Time Machine;Gene Warren and Tim Baar (visual);True
91;1953;26;The War of the Worlds [note 3];Paramount Studio;False
13;1939;12;The Wizard of Oz;A. Arnold Gillespie (photographic);
95;1954;27;Them!;Warner Bros. Studio;False
