id;Year;Edition;Film;Art director(s);Won;Interior decorator(s);Set decorator(s);Production designer(s)
169;1945;18;Blood on the Sun;Wiard Ihnen;True;A. Roland Fields;;
174;1945;18;Color;Color;False;Color;;
170;1945;18;Experiment Perilous;Albert S. D'Agostino and Jack Okey;False;Darrell Silvera and Claude E. Carpenter;;
175;1945;18;Frenchman's Creek;Hans Dreier and Ernst Fegté;True;Samuel M. Comer;;
176;1945;18;Leave Her to Heaven;Lyle R. Wheeler and Maurice Ransford;False;Thomas Little;;
172;1945;18;Love Letters;Hans Dreier and Roland Anderson;False;Samuel M. Comer and Ray Moyer;;
177;1945;18;National Velvet;Cedric Gibbons and Urie McCleary;False;Edwin B. Willis and Mildred Griffiths;;
178;1945;18;San Antonio;Ted Smith;False;Jack McConaghy;;
171;1945;18;The Keys of the Kingdom;James Basevi and William S. Darling;False;Thomas Little and Frank E. Hughes;;
173;1945;18;The Picture of Dorian Gray;Cedric Gibbons and Hans Peters;False;Edwin B. Willis and John Bonar and Hugh Hunt;;
181;1946;19;Anna and the King of Siam;William S. Darling and Lyle R. Wheeler;True;Thomas Little and Frank E. Hughes;;
180;1946;19;Black-and-White;Black-and-White;False;Black-and-White;;
186;1946;19;Caesar and Cleopatra;John Bryan;False;;;
184;1946;19;Color;Color;False;Color;;
187;1946;19;Henry V;Paul Sheriff and Carmen Dillon;False;;;
182;1946;19;Kitty;Hans Dreier and Walter H. Tyler;False;Samuel M. Comer and Ray Moyer;;
183;1946;19;The Razor's Edge;Richard Day and Nathan H. Juran;False;Thomas Little and Paul S. Fox;;
185;1946;19;The Yearling;Cedric Gibbons and Paul Groesse;True;Edwin B. Willis;;
192;1947;20;Black Narcissus;Alfred Junge;True;;;
188;1947;20;Black-and-White;Black-and-White;False;Black-and-White;;
191;1947;20;Color;Color;False;Color;;
189;1947;20;Great Expectations;Wilfred Shingleton;True;John Bryan;;
193;1947;20;Life with Father;Robert M. Haas;False;George James Hopkins;;
190;1947;20;The Foxes of Harrow;Lyle R. Wheeler and Maurice Ransford;False;Thomas Little and Paul S. Fox;;
194;1948;21;Black-and-White;Black-and-White;False;Black-and-White;;
197;1948;21;Color;Color;False;Color;;
195;1948;21;Hamlet;Roger K. Furse;True;Carmen Dillon;;
199;1948;21;Joan of Arc;Richard Day;False;Edwin Casey Roberts and Joseph Kish;;
196;1948;21;Johnny Belinda;Robert M. Haas;False;William O. Wallace;;
198;1948;21;The Red Shoes;Hein Heckroth;True;Arthur Lawson;;
206;1949;22;Adventures of Don Juan;Edward Carrere;False;Lyle Reifsnider;;
200;1949;22;Black-and-White;Black-and-White;False;Black-and-White;;
204;1949;22;Color;Color;False;Color;;
202;1949;22;Come to the Stable;Lyle R. Wheeler and Joseph C. Wright;False;Thomas Little and Paul S. Fox;;
205;1949;22;Little Women;Cedric Gibbons and Paul Groesse;True;Edwin B. Willis and Jack D. Moore;;
203;1949;22;Madame Bovary;Cedric Gibbons and Jack Martin Smith;False;Edwin B. Willis and Richard A. Pefferle;;
207;1949;22;Saraband;Jim Morahan and William Kellner;False;Michael Relph;;
201;1949;22;The Heiress;Harry Horner and John Meehan;True;Emile Kuri;;
210;1950;23;All About Eve;George W. Davis and Lyle R. Wheeler;False;;Thomas Little and Walter M. Scott;
214;1950;23;Annie Get Your Gun;Cedric Gibbons and Paul Groesse;False;;Edwin B. Willis and Richard A. Pefferle;
208;1950;23;Black-and-White;Black-and-White;False;;Black-and-White;
212;1950;23;Color;Color;False;;Color;
215;1950;23;Destination Moon;Ernst Fegté;False;;George Sawley;
213;1950;23;Samson and Delilah;Hans Dreier and Walter H. Tyler;True;;Samuel M. Comer and Ray Moyer;
209;1950;23;Sunset Boulevard;Hans Dreier and John Meehan;True;;Samuel M. Comer and Ray Moyer;
211;1950;23;The Red Danube;Cedric Gibbons and Hans Peters;False;;Edwin B. Willis and Hugh Hunt;
217;1951;24;A Streetcar Named Desire;Richard Day;True;;George James Hopkins;
223;1951;24;An American in Paris;E. Preston Ames and Cedric Gibbons;True;;Edwin B. Willis and F. Keogh Gleason;
216;1951;24;Black-and-White;Black-and-White;False;;Black-and-White;
