id;Year;Edition;Film;Song;Nominees;Won
248;1969;42;The Prime of Miss Jean Brodie;Jean;Rod McKuen (music & lyrics);False
26;1938;11;Going Places;Jeepers Creepers;Harry Warren (music);
413;1997;70;Anastasia;Journey to the Past;Stephen Flaherty (music);
171;1956;29;Julie;Julie;Leith Stevens (music);
366;1989;62;The Little Mermaid;Kiss the Girl;Menken (music);
300;1978;51;Thank God It's Friday;Last Dance;Paul Jabara (music & lyrics);True
130;1949;22;So Dear to My Heart;Lavender Blue;Eliot Daniel (music);
456;2004;77;The Phantom of the Opera;Learn to Be Lonely;Andrew Lloyd Webber (music);
500;2013;86;Frozen;Let It Go;Kristen Anderson-Lopez & Robert Lopez (music & lyrics);True
360;1988;61;Working Girl;Let the River Run;Carly Simon (music & lyrics);True
339;1984;57;Footloose;Let's Hear It for the Boy;Pitchford & Tom Snow (music & lyrics);False
352;1986;59;That's Life!;Life in a Looking Glass;Henry Mancini (music);
261;1971;44;Kotch;Life Is What You Make It;Marvin Hamlisch (music);
552;2022;95;Black Panther: Wakanda Forever;Lift Me Up;Ryan Coogler, Ludwig Göransson, Rihanna & Tems (music);
103;1945;18;The Story of G.I. Joe;Linda;Ann Ronell (music & lyrics);False
466;2006;79;Dreamgirls;Listen;Scott Cutler & Henry Krieger (music);
280;1974;47;The Little Prince;Little Prince;Frederick Loewe (music);
272;1973;46;Live and Let Die;Live and Let Die;Linda & Paul McCartney (music & lyrics);False
482;2009;82;Paris 36;Loin de Paname;Reinhardt Wagner (music);
82;1944;17;Cover Girl;Long Ago (and Far Away);Jerome Kern (music);
455;2004;77;The Chorus;Look to Your Path;Bruno Coulais (music);
395;1994;67;Junior;Look What Love Has Done;James Newton Howard, James Ingram, Carole Bayer Sager & Patty Smyth (music & lyrics);False
442;2002;75;8 Mile;Lose Yourself;Jeff Bass, Eminem & Luis Resto (music);
506;2014;87;Begin Again;Lost Stars;Gregg Alexander & Danielle Brisebois (music & lyrics);False
3;1934;7;She Loves Me Not;Love in Bloom;Ralph Rainger (music);
162;1955;28;Love Is a Many-Splendored Thing;Love Is a Many-Splendored Thing;Sammy Fain (music);
61;1942;15;Bambi;Love Is a Song;Frank Churchill (p.n.) (music);
100;1945;18;Love Letters;Love Letters;Victor Young (music);
43;1940;13;Second Chorus;Love of My Life;Artie Shaw (music);
467;2006;79;Dreamgirls;Love You I Do;Henry Krieger (music);
273;1973;46;Robin Hood;Love;George Bruns (music);
6;1935;8;Roberta;Lovely to Look At;Jerome Kern (music);
5;1935;8;Gold Diggers of 1935;Lullaby of Broadway;Harry Warren (music);
398;1994;67;The Paper;Make Up Your Mind;Randy Newman (music & lyrics);False
491;2011;84;The Muppets;Man or Muppet;Bret McKenzie (music & lyrics);True
331;1983;56;Flashdance;Maniac;Dennis Matkosky & Michael Sembello (music & lyrics);True
514;2015;88;Racing Extinction;Manta Ray;J. Ralph (music);
266;1972;45;The Life and Times of Judge Roy Bean;Marmalade, Molasses & Honey;Maurice Jarre (music);
438;2001;74;The Lord of the Rings: The Fellowship of the Ring;May It Be;Enya, Nicky & Roma Ryan (music and lyrics);False
351;1986;59;Little Shop of Horrors;Mean Green Mother from Outer Space;Alan Menken (music);
29;1938;11;Merrily We Live;Merrily We Live;Phil Charig (music);
527;2017;90;Mudbound;Mighty River;Mary J. Blige, Raphael Saadiq & Taura Stinson (music & lyrics);False
