id;Year;Edition;Film;Song;Nominees;Won
109;1946;19;Blue Skies;You Keep Coming Back Like a Song;Irving Berlin (music & lyrics);False
294;1977;50;You Light Up My Life;You Light Up My Life;Joseph Brooks (music & lyrics);True
406;1996;69;Evita;You Must Love Me;Andrew Lloyd Webber (music);
450;2003;76;Cold Mountain;You Will Be My Ain True Love;Sting (music & lyrics);False
75;1943;16;Something to Shout About;You'd Be So Nice to Come Home To;Cole Porter (music & lyrics);False
424;1999;72;Tarzan;You'll Be in My Heart;Phil Collins (music & lyrics);True
69;1943;16;Hello, Frisco, Hello;You'll Never Know;Harry Warren (music);
404;1995;68;Toy Story;You've Got a Friend in Me;Randy Newman (music & lyrics);False
147;1952;25;Just for You;Zing a Little Zong;Harry Warren (music);
114;1947;20;Song of the South;Zip-a-Dee-Doo-Dah;Allie Wrubel (music);
